store1,store2,weigth
88,26,7
67,58,6
6,77,4
24,54,1
77,56,9
42,7,10
16,82,9
11,66,9
44,83,8
64,63,3
7,66,8
50,17,4
33,41,5
51,59,5
76,5,9
29,8,5
49,31,8
30,2,10
69,70,3
9,69,2
44,94,2
58,66,2
64,62,3
73,43,2
63,33,4
5,18,10
96,93,1
25,56,9
29,38,9
2,99,8
6,83,1
16,72,9
81,4,6
3,12,4
24,69,10
99,57,4
86,32,1
69,96,1
52,64,7
30,78,7
98,77,10
36,81,6
23,87,1
14,98,8
63,30,9
6,46,1
28,92,10
85,25,8
45,53,3
30,88,9
98,93,9
15,36,4
48,33,6
53,37,7
100,76,8
7,46,10
72,20,10
63,7,1
3,46,4
11,79,2
47,60,3
24,26,9
70,47,7
92,44,5
38,19,4
65,85,7
63,39,2
58,14,4
4,58,3
35,96,6
97,23,8
32,21,6
14,80,10
97,81,10
64,65,5
69,92,4
91,77,2
36,15,4
47,41,10
18,94,7
38,95,8
80,11,8
76,46,1
12,81,9
39,52,10
60,6,9
72,83,8
4,28,6
37,13,8
3,32,2
36,42,6
64,63,4
6,24,4
90,23,1
19,47,3
8,84,7
48,25,10
26,24,4
80,64,3
53,12,5
33,80,4
44,49,2
62,35,9
96,42,3
38,29,8
12,48,7
61,4,5
26,4,4
26,41,8
99,22,7
54,29,4
100,85,4
32,66,7
2,56,10
72,1,5
54,38,5
26,93,5
15,76,1
55,1,9
33,16,8
7,61,4
33,89,7
28,33,4
21,43,5
30,65,7
98,5,5
71,3,6
29,56,2
37,91,9
9,81,8
81,42,7
6,24,1
49,80,4
95,10,8
70,26,3
65,8,9
94,21,10
40,89,5
1,13,6
1,43,5
99,96,7
21,32,3
16,36,7
81,55,5
18,22,5
24,38,7
7,18,10
46,53,3
94,91,9
61,99,3
68,16,1
27,54,9
73,36,10
43,52,1
98,79,9
92,75,3
23,31,3
80,75,1
40,57,3
18,60,3
11,29,5
98,35,9
42,65,10
2,18,7
53,100,9
29,9,4
17,86,4
67,5,9
41,45,5
58,46,3
98,22,3
94,81,1
38,26,6
62,88,8
66,6,6
59,87,9
93,91,1
86,58,8
78,8,10
20,17,7
23,23,7
83,20,3
76,52,7
34,27,9
9,29,3
96,64,3
36,25,10
42,56,9
28,5,10
33,78,1
97,60,7
55,27,5
32,24,4
28,82,10
61,57,9
41,89,9
70,65,4
28,5,9
43,32,6
18,71,8
69,72,9
71,89,3
2,59,6
57,1,6
6,87,6
54,10,1
86,86,4
61,35,5
2,17,6
82,46,3
64,16,9
25,44,7
43,21,6
10,17,6
93,15,6
57,42,2
45,66,4
60,27,9
71,44,3
64,85,7
8,100,6
48,42,7
76,45,6
58,79,1
6,2,5
39,20,4
25,54,9
23,35,3
63,68,9
12,20,10
12,40,2
43,37,9
1,30,10
24,68,10
50,70,4
27,45,7
39,55,2
99,20,3
37,72,5
23,31,8
75,90,3
82,59,3
39,73,2
49,85,2
17,22,4
84,70,10
26,54,10
76,99,1
76,2,2
38,24,5
49,41,7
50,4,1
30,69,8
18,37,9
76,93,3
99,36,10
41,79,1
3,22,6
43,83,3
7,24,7
10,75,10
66,10,6
6,89,5
98,54,4
97,54,2
57,83,1
64,81,4
58,84,3
46,99,8
2,46,3
51,20,8
90,96,10
55,33,9
14,46,4
28,4,4
34,19,2
54,89,1
14,6,3
12,3,7
79,80,10
27,58,6
48,18,1
30,23,2
4,77,2
60,53,3
5,25,10
65,91,3
82,19,6
68,25,9
51,79,1
6,40,7
8,95,7
3,13,2
92,51,9
22,94,10
37,30,10
75,39,8
61,6,10
14,12,10
64,71,6
50,29,1
2,8,7
12,36,3
48,6,8
80,5,3
30,8,5
17,41,9
69,44,5
59,10,3
96,36,3
94,21,3
87,39,2
36,51,5
58,80,6
70,64,10
92,91,8
4,86,6
24,83,7
76,66,3
52,48,7
12,8,8
3,97,9
8,87,1
90,55,10
40,60,8
63,44,9
49,97,5
88,50,6
98,82,9
100,26,7
78,11,2
47,41,3
21,26,6
80,49,3
48,66,6
11,87,5
71,15,2
38,26,2
33,59,3
4,34,2
83,95,5
8,33,7
48,15,5
96,99,1
68,90,6
81,40,10
75,3,8
62,32,6
51,80,6
20,53,7
